Smiles,MMGBSA dG Bind
CN1N=CC(O)=C1C(F)(F)F,-17.68
CC(C)C=1C=CC(C#N)=CN1,-21.18
ClC=1C=CC=C(C1)C2CNCCN2,-41.36
O=C(O)C=1C=C2CCCCC2=CN1,-28.91
O=C(O)CC1CCCC(=O)N1,-19.3
CN1C=C(C#N)C(=N1)C(F)(F)F,-21.66
O=C1CC2(CN1)CCCNC2,-22.13
COC=1C=CC=2OCC[C@@H](O)C2C1,-37.09
CC=1C=CN=C(CCO)N1,-30.93
CC1=NC=2C(C#N)=CC=CC2N1,-27.83
CC=1C=NC=2NCCNC2C1,-31.1
NCC=1C=CN=C(C1)OC(F)F,-23.25
CC=1C=CC=2N=C(C=CC2C1)C(=O)O,-30.25
CC=1C=C(F)C(C(=O)O)=C(F)C1,-17.65
NCC1CN2CCCCC2CO1,-28.17
CC1(C)CC(O)C(C)(C)O1,-20.18
CN(C)C=1C=CC=NC1C#N,-27.03
NC=1C=CC(=CN1)OC(F)F,-22.32
CS(=O)(=O)C1=CC=C(C#N)C=C1F,-27.18
C=CCOC=1C=CC=NC1,-29.0
NC=1C=NC=2CCOCC2C1,-31.27
O=C1CC=NN1C2=CC=CC=C2F,-32.99
COC=1C=C(C#N)C=C(C)N1,-26.29
